"Raman Shift [cm -1]","RD1","RD2","RD3","RD4","RD5","RD6","RD7","RD8","RD9"
"1083","391.894","194.322","457.748","955.907","1535.1","712.006","690.405","210.426","402.554"
"1084","391.309","194.692","458.969","957.559","1535.38","713.087","690.512","211.063","403.647"
"1085","390.779","194.672","460.062","958.539","1535.6","714.55","690.471","210.693","404.765"
"1086","390.22","194.042","461.012","959.215","1535.45","715.897","690.286","209.384","405.164"
"1087","390.437","193.433","461.931","959.39","1534.5","717.112","689.869","208.421","405.957"
"1088","390.542","193.288","462.724","958.924","1531.78","718.089","689.206","208.014","406.905"
"1089","390.71","193.11","462.98","958.36","1529.16","718.29","688.78","207.31","406.75"
"1090","390.874","193.068","463.461","955.601","1522.67","718.148","687.327","206.241","406.134"
"1091","390.759","193.263","463.627","952.518","1519.67","716.622","686.031","205.254","404.906"
"1092","389.952","192.947","462.846","948.536","1516.39","713.683","683.564","204.609","403.213"
"1093","388.766","192.133","461.121","943.718","1512.82","708.167","681.489","204.254","401.937"
"1094","387.386","191.312","458.987","938.623","1508.79","704.197","679.254","203.69","400.14"
"1095","385.85","190.412","456.482","934.288","1504.27","700.031","677.17","202.862","398.081"
"1096","384.197","189.055","453.745","931.342","1499.62","696.181","675.007","201.946","395.42"
"1097","382.294","187.997","451.032","928.187","1494.48","692.406","672.647","201.345","392.684"
"1098","380.421","186.542","448.805","925.009","1488.32","689.122","668.484","200.802","389.658"
"1099","378.921","185.576","446.363","920.273","1482.21","686.294","664.849","200.56","386.961"
"1100","377.915","184.506","443.831","917.122","1476.44","684.069","661.9","200.436","384.337"
"1101","377.415","183.796","441.222","915.611","1472.05","682.612","659.724","200.692","381.719"
"1102","377.24","183.393","438.847","914.832","1468.5","681.752","658.353","201.024","379.741"
"1103","377.244","182.694","436.747","914.452","1465.74","681.298","657.823","201.237","378.71"
"1104","377.817","181.523","434.86","914.776","1464.16","681.473","658.183","201.071","377.442"
"1105","378.654","180.421","434.132","915.955","1463.28","682.268","659.409","201.529","376.754"
"1106","379.834","179.787","435.556","915.058","1463.51","683.761","661.496","202.226","375.9"
"1107","381.319","179.842","439.854","918.997","1465.08","685.882","663.309","203.976","375.723"
"1108","383","180.497","442.588","923.651","1468.36","688.703","664.294","205.149","375.216"
"1109","384.883","181.429","445.731","929.083","1473.81","692.298","665.838","205.866","376.123"
"1110","386.975","182.786","449.009","933.962","1480.76","696.674","668.061","207.036","379.324"
"1111","389.039","183.915","452.479","939.403","1489.67","701.792","670.653","207.919","383.852"
"1112","391.311","185.56","456.413","947.389","1499.98","707.724","673.901","209.1","389.129"
"1113","393.319","187.088","461.417","956.94","1511.76","714.481","677.625","210.129","395.149"
"1114","395.759","189.284","466.569","966.156","1523.35","723.068","682.293","211.239","403.877"
"1115","398.894","191.459","470.585","976.442","1537.07","733.41","687.292","212.254","414.11"
"1116","400.81","192.28","472.75","981.3","1543.7","738.68","689.92","212.54","419.28"
"1117","406.444","195.401","479.79","995.444","1561.35","753.889","697.68","213.085","434.932"
"1118","409.275","196.795","483.126","1003.2","1571.12","762.724","702.922","213.883","436.378"
"1119","411.479","197.768","484.302","1008.58","1580.36","770.591","707.2","214.82","430.936"
"1120","413.296","199.028","484.765","1011.35","1588.31","774.242","711.143","215.617","423.456"
